coorte,corso_codice,corso_descrizione,studenti,genere_m,genere_f,p_genere_m,p_genere_f
2017/2018,0881,ARCHITETTURA,90,43,47,0.478,0.522
2017/2018,0884,CHIMICA INDUSTRIALE,79,52,27,0.658,0.342
2017/2018,0897,DIREZIONE AZIENDALE,117,76,41,0.65,0.35
2017/2018,0900,ECONOMIA E PROFESSIONE,62,39,23,0.629,0.371
2017/2018,0901,"FINANZA, INTERMEDIARI E MERCATI",99,73,26,0.737,0.263
2017/2018,0902,INNOVATION AND ORGANIZATION OF CULTURE AND THE ARTS,23,2,21,0.087,0.913
2017/2018,0905,ECONOMIA E COMMERCIO,90,34,56,0.378,0.622
2017/2018,0923,INGEGNERIA ELETTRONICA E TELECOMUNICAZIONI,112,97,15,0.866,0.134
2017/2018,0924,INGEGNERIA ENERGETICA,149,111,38,0.745,0.255
2017/2018,0925,INGEGNERIA GESTIONALE,250,158,92,0.632,0.368
2017/2018,0926,INGEGNERIA INFORMATICA,186,162,24,0.871,0.129
2017/2018,0927,INGEGNERIA MECCANICA,181,163,18,0.901,0.099
2017/2018,0930,INGEGNERIA CIVILE,97,66,31,0.68,0.32
2017/2018,0934,INGEGNERIA ELETTRONICA,57,42,15,0.737,0.263
2017/2018,0935,INGEGNERIA ENERGETICA,114,82,32,0.719,0.281
2017/2018,0936,INGEGNERIA GESTIONALE,228,137,91,0.601,0.399
2017/2018,0937,INGEGNERIA INFORMATICA,93,80,13,0.86,0.14
2017/2018,0938,INGEGNERIA MECCANICA,174,161,13,0.925,0.075
2017/2018,0940,INGEGNERIA EDILE - ARCHITETTURA,74,38,36,0.514,0.486
2017/2018,0946,INGEGNERIA BIOMEDICA,125,66,59,0.528,0.472
2017/2018,0949,INGEGNERIA MECCANICA,113,106,7,0.938,0.062
2017/2018,0956,"DAMS - DISCIPLINE DELLE ARTI, DELLA MUSICA  E DELLO SPETTACOLO",568,229,339,0.403,0.597
2017/2018,0962,STORIA,212,154,58,0.726,0.274
2017/2018,0964,ANTROPOLOGIA CULTURALE ED ETNOLOGIA,123,35,88,0.285,0.715
2017/2018,0966,"CINEMA, TELEVISIONE E PRODUZIONE MULTIMEDIALE",128,56,72,0.438,0.563
2017/2018,0970,"FILOLOGIA, LETTERATURA E TRADIZIONE CLASSICA",79,26,53,0.329,0.671
2017/2018,0971,GEOGRAFIA E PROCESSI TERRITORIALI,26,15,11,0.577,0.423
2017/2018,0977,ARTI VISIVE,259,39,220,0.151,0.849
2017/2018,0979,LINGUE E LETTERATURE STRANIERE,385,86,299,0.223,0.777
2017/2018,0980,"LINGUE, MERCATI E CULTURE DELL'ASIA",104,23,81,0.221,0.779
2017/2018,0981,"LETTERATURE MODERNE, COMPARATE E POSTCOLONIALI",158,26,132,0.165,0.835
2017/2018,0983,LINGUA E CULTURA ITALIANE PER STRANIERI,169,29,140,0.172,0.828
2017/2018,0989,NEUROSCIENZE E RIABILITAZIONE NEUROPSICOLOGICA,42,11,31,0.262,0.738
2017/2018,0990,PSICOLOGIA CLINICA,88,14,74,0.159,0.841
2017/2018,0991,PSICOLOGIA COGNITIVA APPLICATA,39,16,23,0.41,0.59
2017/2018,0993,PSICOLOGIA SCOLASTICA E DI COMUNITA',34,3,31,0.088,0.912
2017/2018,8004,ASTRONOMIA,69,48,21,0.696,0.304
2017/2018,8005,BIOTECNOLOGIE,85,35,50,0.412,0.588
2017/2018,8006,CHIMICA E CHIMICA DEI MATERIALI,111,48,63,0.432,0.568
2017/2018,8007,FISICA,137,108,29,0.788,0.212
2017/2018,8009,INFORMATICA,118,105,13,0.89,0.11
2017/2018,8010,MATEMATICA,226,116,110,0.513,0.487
2017/2018,8011,SCIENZE AMBIENTALI,66,34,32,0.515,0.485
2017/2018,8012,SCIENZE BIOLOGICHE,149,37,112,0.248,0.752
2017/2018,8014,INFORMATICA PER IL MANAGEMENT,96,69,27,0.719,0.281
2017/2018,8015,SCIENZE GEOLOGICHE,31,19,12,0.613,0.387
2017/2018,8016,SCIENZE NATURALI,57,27,30,0.474,0.526
2017/2018,8018,ASTROFISICA E COSMOLOGIA,32,20,12,0.625,0.375
2017/2018,8020,BIOINFORMATICS,19,10,9,0.526,0.474
2017/2018,8021,BIOLOGIA MOLECOLARE E CELLULARE,41,13,28,0.317,0.683
2017/2018,8025,FISICA,94,75,19,0.798,0.202
2017/2018,8026,FOTOCHIMICA E MATERIALI MOLECOLARI,31,20,11,0.645,0.355
2017/2018,8027,GEOLOGIA E TERRITORIO,36,19,17,0.528,0.472
2017/2018,8028,INFORMATICA,65,52,13,0.8,0.2
2017/2018,8037,SCIENZE E TECNICHE DELL'ATTIVITA' SPORTIVA,57,51,6,0.895,0.105
2017/2018,8038,"ECONOMIA, MERCATI E ISTITUZIONI",191,122,69,0.639,0.361
2017/2018,8040,SERVIZIO SOCIALE,87,11,76,0.126,0.874
2017/2018,8048,SCIENZE INTERNAZIONALI E DIPLOMATICHE,366,134,232,0.366,0.634
2017/2018,8049,INTERDISCIPLINARY RESEARCH AND STUDIES ON EASTERN EUROPE,37,12,25,0.324,0.676
2017/2018,8051,MASS MEDIA E POLITICA,36,19,17,0.528,0.472
2017/2018,8059,MEDIAZIONE LINGUISTICA INTERCULTURALE,160,27,133,0.169,0.831
2017/2018,8060,INTERPRETAZIONE,31,4,27,0.129,0.871
2017/2018,8182,DESIGN DEL PRODOTTO INDUSTRIALE,80,40,40,0.5,0.5
2017/2018,8198,INGEGNERIA BIOMEDICA,48,19,29,0.396,0.604
2017/2018,8204,ODONTOIATRIA E PROTESI DENTARIA,20,7,13,0.35,0.65
2017/2018,8208,MATEMATICA,67,31,36,0.463,0.537
2017/2018,8209,SCIENZE E GESTIONE DELLA NATURA,39,14,25,0.359,0.641
2017/2018,8406,MANAGEMENT E MARKETING,139,96,43,0.691,0.309
2017/2018,8408,ECONOMICS,36,23,13,0.639,0.361
2017/2018,8412,CHIMICA E TECNOLOGIA FARMACEUTICHE,100,31,69,0.31,0.69
2017/2018,8415,MEDICINA E CHIRURGIA,229,98,131,0.428,0.572
2017/2018,8418,ANALISI E GESTIONE DELL'AMBIENTE,40,19,21,0.475,0.525
2017/2018,8419,BIODIVERSITA' ED EVOLUZIONE,38,10,28,0.263,0.737
2017/2018,8420,ECONOMIA E POLITICA ECONOMICA,64,41,23,0.641,0.359
2017/2018,8470,DIETISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI DIETISTA),7,4,3,0.571,0.429
2017/2018,8473,INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),205,37,168,0.18,0.82
2017/2018,8474,INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),110,20,90,0.182,0.818
2017/2018,8475,INFERMIERISTICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE),167,34,133,0.204,0.796
2017/2018,8476,FISIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI FISIOTERAPISTA),22,6,16,0.273,0.727
2017/2018,8477,EDUCAZIONE PROFESSIONALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI EDUCATORE PROFESSIONALE),29,8,21,0.276,0.724
2017/2018,8478,LOGOPEDIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI LOGOPEDISTA),11,0,11,0,1
2017/2018,8479,PODOLOGIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI PODOLOGO),8,5,3,0.625,0.375
2017/2018,8481,IGIENE DENTALE (ABILITANTE ALLA PROFESSIONE SANITARIA DI IGIENISTA DENTALE),14,2,12,0.143,0.857
2017/2018,8482,TECNICHE DI NEUROFISIOPATOLOGIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI NEUROFISIOPATOLOGIA),5,0,5,0,1
2017/2018,8483,TECNICHE ORTOPEDICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO ORTOPEDICO),8,2,6,0.25,0.75
2017/2018,8484,TECNICHE DI LABORATORIO BIOMEDICO (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI LABORATORIO BIOMEDICO),8,4,4,0.5,0.5
2017/2018,8485,"TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA)",10,6,4,0.6,0.4
2017/2018,8486,"TECNICHE DI RADIOLOGIA MEDICA, PER IMMAGINI E RADIOTERAPIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DI RADIOLOGIA MEDICA)",6,2,4,0.333,0.667
2017/2018,8487,TECNICHE DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO (ABILITANTE  ALLA PROFESSIONE SANITARIA DI TECNICO DELLA PREVENZIONE NELL'AMBIENTE E NEI LUOGHI DI LAVORO),16,7,9,0.438,0.563
2017/2018,8488,SCIENZE INFERMIERISTICHE E OSTETRICHE,23,4,19,0.174,0.826
2017/2018,8491,SCIENZE CRIMINOLOGICHE PER L'INVESTIGAZIONE E LA SICUREZZA,142,28,114,0.197,0.803
2017/2018,8493,"ANTROPOLOGIA, RELIGIONI, CIVILTA' ORIENTALI",266,71,195,0.267,0.733
2017/2018,8495,SOCIOLOGIA,151,48,103,0.318,0.682
2017/2018,8512,SCIENZE DELLE ATTIVITA' MOTORIE E SPORTIVE,176,133,43,0.756,0.244
2017/2018,8513,CHIMICA INDUSTRIALE,98,68,30,0.694,0.306
2017/2018,8514,CHIMICA E TECNOLOGIE PER L'AMBIENTE E PER I MATERIALI,29,18,11,0.621,0.379
2017/2018,8515,CHIMICA E TECNOLOGIE PER L'AMBIENTE E PER I MATERIALI,32,19,13,0.594,0.406
2017/2018,8518,SCIENZE FARMACEUTICHE APPLICATE,49,9,40,0.184,0.816
2017/2018,8519,BIOTECNOLOGIE FARMACEUTICHE,38,11,27,0.289,0.711
2017/2018,8521,SICUREZZA E QUALITA' DELLE PRODUZIONI ANIMALI,48,22,26,0.458,0.542
2017/2018,8522,BIOTECNOLOGIE ANIMALI,24,4,20,0.167,0.833
2017/2018,8523,VERDE ORNAMENTALE E TUTELA DEL PAESAGGIO,33,13,20,0.394,0.606
2017/2018,8524,TECNOLOGIE AGRARIE,122,97,25,0.795,0.205
2017/2018,8525,SCIENZE DEL TERRITORIO E DELL'AMBIENTE AGRO-FORESTALE,39,27,12,0.692,0.308
2017/2018,8526,ECONOMIA E MARKETING NEL SISTEMA AGRO-INDUSTRIALE,68,46,22,0.676,0.324
2017/2018,8527,VITICOLTURA ED ENOLOGIA,54,33,21,0.611,0.389
2017/2018,8528,TECNOLOGIE ALIMENTARI,84,46,38,0.548,0.452
2017/2018,8531,SCIENZE E TECNOLOGIE ALIMENTARI,64,25,39,0.391,0.609
2017/2018,8532,"PROGETTAZIONE E GESTIONE DEGLI ECOSISTEMI AGRO-TERRITORIALI, FORESTALI E DEL PAESAGGIO",28,18,10,0.643,0.357
2017/2018,8537,SCIENCE FOR THE CONSERVATION - RESTORATION OF CULTURAL HERITAGE,24,9,15,0.375,0.625
2017/2018,8540,SCIENZE DELLA FORMAZIONE PRIMARIA,183,14,169,0.077,0.923
2017/2018,8609,TOURISM ECONOMICS AND MANAGEMENT / ECONOMIA E MANAGEMENT DEL TURISMO,58,22,36,0.379,0.621
2017/2018,8610,INGEGNERIA DELL'ENERGIA ELETTRICA,96,82,14,0.854,0.146
2017/2018,8611,INGEGNERIA DELL'ENERGIA ELETTRICA,67,55,12,0.821,0.179
2017/2018,8614,INGEGNERIA E SCIENZE INFORMATICHE,55,48,7,0.873,0.127
2017/2018,8615,INGEGNERIA E SCIENZE INFORMATICHE,184,156,28,0.848,0.152
2017/2018,8616,CONSERVAZIONE E RESTAURO DEI BENI CULTURALI (ABILITANTE AI SENSI DEL D. LGS N. 42/2004),9,0,9,0,1
2017/2018,8617,MEDICINA VETERINARIA,52,20,32,0.385,0.615
2017/2018,8626,FISICA DEL SISTEMA TERRA,26,13,13,0.5,0.5
2017/2018,8766,SCIENZE DELLE ATTIVITA' MOTORIE E SPORTIVE,96,66,30,0.688,0.313
2017/2018,8767,INGEGNERIA ELETTRONICA PER L'ENERGIA E L'INFORMAZIONE,56,51,5,0.911,0.089
2017/2018,8769,AEROSPACE ENGINEERING / INGEGNERIA AEROSPAZIALE,42,37,5,0.881,0.119
2017/2018,8770,INGEGNERIA ELETTRONICA E TELECOMUNICAZIONI PER L?ENERGIA,26,23,3,0.885,0.115
2017/2018,8771,INGEGNERIA MECCANICA,37,34,3,0.919,0.081
2017/2018,8772,CULTURE E TECNICHE DELLA MODA,189,23,166,0.122,0.878
2017/2018,8773,SCIENZE FILOSOFICHE,123,63,60,0.512,0.488
2017/2018,8774,SCIENZE E TECNICHE PSICOLOGICHE,220,59,161,0.268,0.732
2017/2018,8775,EDUCATORE NEI SERVIZI PER L'INFANZIA,228,7,221,0.031,0.969
2017/2018,8776,EDUCATORE SOCIALE E CULTURALE,203,38,165,0.187,0.813
2017/2018,8777,EDUCATORE SOCIALE E CULTURALE,112,22,90,0.196,0.804
2017/2018,8780,SCIENZE DELL?EDUCAZIONE PERMANENTE E DELLA FORMAZIONE CONTINUA,38,6,32,0.158,0.842
2017/2018,8782,RELAZIONI INTERNAZIONALI,83,40,43,0.482,0.518
2017/2018,8783,SCIENZE INTERNAZIONALI E DIPLOMATICHE,116,47,69,0.405,0.595
2017/2018,8784,"POLITICA, AMMINISTRAZIONE E ORGANIZZAZIONE",70,38,32,0.543,0.457
2017/2018,8786,SOCIOLOGIA E SERVIZIO SOCIALE,100,22,78,0.22,0.78
2017/2018,8829,INGEGNERIA DEI PROCESSI E DEI SISTEMI EDILIZI,50,23,27,0.46,0.54
2017/2018,8834,ACQUACOLTURA E IGIENE DELLE PRODUZIONI ITTICHE,43,18,25,0.419,0.581
2017/2018,8835,ECONOMICS AND FINANCE /ECONOMIA E FINANZA,100,61,39,0.61,0.39
2017/2018,8837,DISCIPLINE DELLA MUSICA E DEL TEATRO,64,18,46,0.281,0.719
2017/2018,8838,SCIENZE DEL LIBRO E DEL DOCUMENTO,26,3,23,0.115,0.885
2017/2018,8839,RESOURCE ECONOMICS AND SUSTAINABLE DEVELOPMENT / ECONOMIA DELLE RISORSE E DELLO SVILUPPO SOSTENIBILE,29,19,10,0.655,0.345
2017/2018,8840,COMUNICAZIONE PUBBLICA E D'IMPRESA,117,38,79,0.325,0.675
2017/2018,8842,AMMINISTRAZIONE E GESTIONE D'IMPRESA,104,47,57,0.452,0.548
2017/2018,8843,MANAGEMENT DELL?ECONOMIA SOCIALE,41,18,23,0.439,0.561
2017/2018,8845,SCIENZE STORICHE E ORIENTALISTICHE,240,151,89,0.629,0.371
2017/2018,8847,ECONOMIA DEL TURISMO,165,58,107,0.352,0.648
2017/2018,8848,ECONOMIA DELL'IMPRESA,155,77,78,0.497,0.503
2017/2018,8849,BENI CULTURALI,179,40,139,0.223,0.777
2017/2018,8850,LETTERE,617,158,459,0.256,0.744
2017/2018,8853,"SCIENZE POLITICHE, SOCIALI E INTERNAZIONALI",454,180,274,0.396,0.604
2017/2018,8854,QUANTITATIVE FINANCE,50,38,12,0.76,0.24
2017/2018,8855,ARCHEOLOGIA E CULTURE DEL MONDO ANTICO,88,32,56,0.364,0.636
2017/2018,8856,CHIMICA,55,36,19,0.655,0.345
2017/2018,8857,BIOLOGIA MARINA,39,6,33,0.154,0.846
2017/2018,8859,BIOTECNOLOGIE MEDICHE,32,8,24,0.25,0.75
2017/2018,8871,ECONOMIA AZIENDALE,180,115,65,0.639,0.361
2017/2018,8872,"FINANZA, ASSICURAZIONI E IMPRESA",56,41,15,0.732,0.268
2017/2018,8873,SCIENZE STATISTICHE,114,66,48,0.579,0.421
2017/2018,8874,"LANGUAGE, SOCIETY AND COMMUNICATION / LINGUA, SOCIETA E COMUNICAZIONE",182,23,159,0.126,0.874
2017/2018,8876,"STATISTICA, ECONOMIA E IMPRESA",122,53,69,0.434,0.566
2017/2018,8877,"SCIENZE STATISTICHE, FINANZIARIE E ATTUARIALI",42,25,17,0.595,0.405
2017/2018,8878,SCIENZE DELLE PROFESSIONI SANITARIE DELLA PREVENZIONE,15,6,9,0.4,0.6
2017/2018,8879,ASSISTENZA SANITARIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI ASSISTENTE SANITARIO),10,3,7,0.3,0.7
2017/2018,8880,HEALTH ECONOMICS AND MANAGEMENT / ECONOMIA SANITARIA E MANAGEMENT,15,6,9,0.4,0.6
2017/2018,8882,PRODUZIONI ANIMALI,77,30,47,0.39,0.61
2017/2018,8883,INTERNATIONAL HORTICULTURAL SCIENCE / ORTOFRUTTICOLTURA INTERNAZIONALE,35,20,15,0.571,0.429
2017/2018,8885,SCIENZE DELLA COMUNICAZIONE,533,182,351,0.341,0.659
2017/2018,8886,SEMIOTICA,85,37,48,0.435,0.565
2017/2018,8887,INGEGNERIA CHIMICA E BIOCHIMICA,144,77,67,0.535,0.465
2017/2018,8888,INGEGNERIA CIVILE,92,66,26,0.717,0.283
2017/2018,8890,SVILUPPO E COOPERAZIONE INTERNAZIONALE,111,40,71,0.36,0.64
2017/2018,8891,AUTOMATION ENGINEERING / INGEGNERIA DELL?AUTOMAZIONE,90,82,8,0.911,0.089
2017/2018,8894,INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,102,63,39,0.618,0.382
2017/2018,8895,CIVIL ENGINEERING,57,40,17,0.702,0.298
2017/2018,8896,INGEGNERIA CHIMICA E DI PROCESSO,93,58,35,0.624,0.376
2017/2018,8965,BUSINESS AND ECONOMICS/ECONOMIA E GESTIONE DI IMPRESA,138,58,80,0.42,0.58
2017/2018,9021,ADVANCED DESIGN,21,9,12,0.429,0.571
2017/2018,9022,FASHION CULTURE AND MANAGEMENT,32,5,27,0.156,0.844
2017/2018,9174,SPECIALIZED TRANSLATION,60,11,49,0.183,0.817
2017/2018,9198,INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,93,60,33,0.645,0.355
2017/2018,9199,INGEGNERIA EDILE,32,18,14,0.563,0.438
2017/2018,9200,SVILUPPO LOCALE E GLOBALE,61,19,42,0.311,0.689
2017/2018,9201,OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O),15,0,15,0,1
2017/2018,9202,ECONOMIA E COMMERCIO,351,177,174,0.504,0.496
2017/2018,9203,ECONOMIA E MANAGEMENT,106,52,54,0.491,0.509
2017/2018,9205,TELECOMMUNICATIONS ENGINEERING,35,30,5,0.857,0.143
2017/2018,9206,PEDAGOGIA,114,10,104,0.088,0.912
2017/2018,9210,MEDICINE AND SURGERY,48,25,23,0.521,0.479
2017/2018,9211,GENOMICS,33,10,23,0.303,0.697
2017/2018,9212,BIOLOGIA DELLA SALUTE,50,11,39,0.22,0.78
2017/2018,9213,BIOTECNOLOGIE MOLECOLARI E INDUSTRIALI,30,21,9,0.7,0.3
2017/2018,9214,MANAGEMENT DELLE ATTIVITA MOTORIE E SPORTIVE,56,44,12,0.786,0.214
2017/2018,9215,SCIENZE E TECNICHE DELL'ATTIVITA' MOTORIA PREVENTIVA E ADATTATA,62,34,28,0.548,0.452
2017/2018,9216,FILOSOFIA,255,137,118,0.537,0.463
2017/2018,9217,INGEGNERIA DELL?AUTOMAZIONE,146,130,16,0.89,0.11
2017/2018,9218,"BENI ARCHEOLOGICI, ARTISTICI E DEL PAESAGGIO: STORIA, TUTELA E VALORIZZAZIONE",70,17,53,0.243,0.757
2017/2018,9219,FARMACIA,150,38,112,0.253,0.747
2017/2018,9220,"ITALIANISTICA, CULTURE LETTERARIE EUROPEE, SCIENZE LINGUISTICHE",392,114,278,0.291,0.709
2017/2018,9221,ECONOMIA E DIRITTO,70,36,34,0.514,0.486
2017/2018,9222,STATISTICAL SCIENCES,56,24,32,0.429,0.571
2017/2018,9223,FARMACIA,77,17,60,0.221,0.779
2017/2018,9224,DIGITAL HUMANITIES AND DIGITAL KNOWLEDGE,17,6,11,0.353,0.647
2017/2018,9227,"WELLNESS CULTURE: SPORT, HEALTH AND TOURISM",7,5,2,0.714,0.286
2017/2018,9228,PROGETTAZIONE E GESTIONE DELL'INTERVENTO EDUCATIVO NEL DISAGIO SOCIALE,110,7,103,0.064,0.936
2017/2018,9229,PROGETTAZIONE E GESTIONE DELL'INTERVENTO EDUCATIVO NEL DISAGIO SOCIALE,24,0,24,0,1
2017/2018,9230,CONSULENTE DEL LAVORO E DELLE RELAZIONI AZIENDALI,217,79,138,0.364,0.636
2017/2018,9231,GIURISTA PER LE IMPRESE E PER LA PUBBLICA AMMINISTRAZIONE,97,28,69,0.289,0.711
2017/2018,9232,GIURISPRUDENZA,995,360,635,0.362,0.638
2017/2018,9233,GIURISPRUDENZA,65,28,37,0.431,0.569
2017/2018,9234,INGEGNERIA AEROSPAZIALE,110,89,21,0.809,0.191
2017/2018,9235,SCIENZE E TECNOLOGIE AGRARIE,165,112,53,0.679,0.321
2017/2018,9236,"WORK, ORGANIZATIONAL AND PERSONNEL PSYCHOLOGY",10,3,7,0.3,0.7
